Timestamp,Geschlecht,Alter,Wie häufig lesen Sie Nachrichten von 20minuten?,Wie häufig lesen Sie Nachrichten vom Blick?,Wie häufig lesen Sie Nachrichten der NZZ?,Wie viele Stunden pro Tag schauen Sie TV?,"Wie viele Stunden pro Tag verbringen Sie auf Sozialen Medien? (Facebook, Instragam, Twitter, Snapchat)",Wie viele Stunden pro Tag lesen Sie Zeitung? (gedruckt oder online),Welche Medien sind für Sie die wichtigsten Informationsquellen?,Wie häufig erkundigen Sie sich nach neuen Nachrichten aus der Welt?,Wie kommunizieren Sie im privaten Umfeld mit Anderen?,Ist Ihnen einer der Situationen auf Sozialen Medien schon passiert?,Wie oft teilen Sie eigene Inhalte mit anderen? (Soziale Medien)
2018/04/18 7:04:42 am EET,männlich,41-49,Selten (wöchentlich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),3 Stunden,2 Stunden,gar nicht,Internet;Radio,mind. stündlich,Whatsapp;Facebook,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/18 8:32:32 am EET,männlich,<18,Oft (täglich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),gar nicht,3 Stunden,1 Stunde,Internet;Radio,halbtägig,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,täglich
2018/04/18 12:10:48 pm EET,männlich,>50,Oft (täglich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),3 Stunden,gar nicht,1 Stunde,Fernseher;Internet,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/18 4:32:32 pm EET,weiblich,>50,Oft (täglich),Sehr selten (monatlich oder weniger),Oft (täglich),2 Stunden,gar nicht,2 Stunden,Fernseher;Radio;Zeitung,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/19 7:37:35 am EET,männlich,41-49,Oft (täglich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),2 Stunden,gar nicht,gar nicht,Fernseher;Internet;Radio,seltener als täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/19 9:25:33 am EET,männlich,41-49,Selten (wöchentlich),Selten (wöchentlich),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,gar nicht,Fernseher;Internet;Zeitung,seltener als täglich,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/19 12:15:06 pm EET,weiblich,36-40,Oft (täglich),Oft (täglich),Sehr selten (monatlich oder weniger),Mehr als 8 Stunden,1 Stunde,1 Stunde,Internet;Radio,halbtägig,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/20 2:28:34 pm EET,weiblich,41-49,Oft (täglich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,gar nicht,Fernseher;Internet,täglich,Whatsapp,Sie wurden beleidigt oder angegriffen,nie
2018/04/20 8:57:50 pm EET,männlich,36-40,Selten (wöchentlich),Oft (täglich),Sehr selten (monatlich oder weniger),7 Stunden,gar nicht,1 Stunde,Fernseher;Internet;Radio,halbtägig,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/20 9:00:23 pm EET,weiblich,36-40,Oft (täglich),Oft (täglich),Sehr selten (monatlich oder weniger),4 Stunden,1 Stunde,2 Stunden,Fernseher,Alle 1-4 Stunden,SMS,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/23 8:46:56 am EET,männlich,18 - 25,Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),gar nicht,1 Stunde,gar nicht,Internet,Alle 1-4 Stunden,Whatsapp,Sie wurden beleidigt oder angegriffen,seltener als wöchentlich
2018/04/26 7:08:55 pm EET,männlich,>50,Selten (wöchentlich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),2 Stunden,1 Stunde,1 Stunde,Radio,täglich,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,täglich
2018/05/03 4:54:16 pm EET,männlich,26-30,Oft (täglich),Selten (wöchentlich),Sehr selten (monatlich oder weniger),2 Stunden,1 Stunde,1 Stunde,Fernseher;Internet;Radio,täglich,Whatsapp;Facebook,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
